method_name,feature_name,coefficient_mean,coefficient_std,coefficient_min,coefficient_max,fold_count
learned fusion without corpus,cluster_count,-0.024656438438342688,0.020819709386626646,-0.04547614782496934,-0.0038367290517160404,2
learned fusion without corpus,confidence_margin,-0.21031510446690163,0.3872704986183798,-0.5975856030852814,0.17695539415147815,2
learned fusion without corpus,logit_variance,0.10443740383780392,0.24854148265111164,-0.14410407881330772,0.35297888648891557,2
learned fusion without corpus,mean_negative_log_probability,-0.3902995548203674,0.26382127747505213,-0.6541208322954195,-0.12647827734531522,2
learned fusion without corpus,semantic_energy_boltzmann,0.10136813901746917,0.1329085342081548,-0.031540395190685626,0.23427667322562398,2
learned fusion without corpus,semantic_entropy,-0.024044402406682392,0.02419778538525758,-0.04824218779193997,0.00015338297857518503,2
learned fusion with corpus,cluster_count,-0.032182579471863065,0.02434585253316993,-0.056528432005033,-0.007836726938693136,2
learned fusion with corpus,confidence_margin,-0.17270120879914733,0.3571182664649195,-0.5298194752640668,0.18441705766577215,2
learned fusion with corpus,corpus_risk_only,0.16569052585738306,0.24310026071605575,-0.07740973485867271,0.4087907865734388,2
learned fusion with corpus,coverage_score,0.31692610218602996,0.336932240712331,-0.02000613852630104,0.653858342898361,2
learned fusion with corpus,entity_frequency_mean,0.10174066417080979,0.1116550932477681,-0.0099144290769583,0.21339575741857789,2
learned fusion with corpus,entity_frequency_min,-0.10778981685426335,0.16577067101601406,-0.2735604878702774,0.057980854161750715,2
learned fusion with corpus,entity_pair_cooccurrence,0.0705996051116222,0.01667661886640116,0.05392298624522104,0.08727622397802336,2
learned fusion with corpus,logit_variance,0.06354639733720081,0.20593028041568134,-0.14238388307848052,0.26947667775288214,2
learned fusion with corpus,low_frequency_entity_flag,0.10124030415874224,0.13524390947826365,-0.03400360531952139,0.23648421363700586,2
learned fusion with corpus,mean_negative_log_probability,-0.25770399448787024,0.14455655534810258,-0.4022605498359728,-0.11314743913976764,2
learned fusion with corpus,semantic_energy_boltzmann,0.08973965698880071,0.12803547507310653,-0.038295818084305835,0.21777513206190727,2
learned fusion with corpus,semantic_entropy,-0.0328057534390018,0.029737388527142538,-0.06254314196614434,-0.0030683649118592635,2
learned fusion with corpus,zero_cooccurrence_flag,-0.005347025124493101,0.005347025124493101,-0.010694050248986202,0.0,2
